year,     1,     2,     3,     4,     5,     6,     7,     8,     9,    10,    11,
      0,             275415.00000,            1472825.00000,            1765540.00000,             666130.00000,             190870.00000,              60220.00000,              22470.00000,               7625.00000,               3720.00000,               2725.00000,               3740.00000,
      1,             559636.40000,            1288027.25000,            1677145.25000,             670673.45000,             184393.85000,              56403.05000,              24257.40000,              10665.10000,                 78.25000,                  0.00000,                  0.00000,
      2,             402866.30000,            1316436.70000,            1637670.50000,             738895.40000,             241137.65000,              80241.40000,              37270.90000,              16760.15000,                  1.00000,                  0.00000,                  0.00000,
      3,             370527.10000,            1235885.75000,            1600622.90000,             787301.30000,             291128.95000,             106420.95000,              53810.30000,              25579.75000,                  3.00000,                  0.00000,                  0.00000,
      4,             365317.25000,            1160712.55000,            1552512.55000,             818135.05000,             332850.65000,             132079.05000,              72540.90000,              37118.85000,                 12.15000,                  1.00000,                  0.00000,
      5,             369864.15000,            1100672.45000,            1502195.15000,             836122.25000,             365146.25000,             154816.55000,              91952.55000,              50493.75000,                 12.90000,                  3.00000,                  1.00000,
      6,             377297.70000,            1057364.45000,            1454368.10000,             843780.10000,             390571.20000,             173422.65000,             109684.40000,              64769.85000,                 13.55000,                  6.00000,                  2.00000,
      7,             385315.95000,            1029825.75000,            1410789.25000,             843348.05000,             408151.60000,             189292.40000,             125680.45000,              78845.60000,                 21.75000,                  4.10000,                  5.10000,
      8,             393023.65000,            1011836.80000,            1373366.40000,             839929.55000,             420002.85000,             201150.00000,             139727.25000,              92198.05000,                 30.80000,                  8.45000,                  6.20000,
      9,             398735.65000,            1001358.20000,            1342985.20000,             834952.35000,             427393.30000,             211405.50000,             151004.40000,             103386.15000,                 41.25000,                 11.60000,                  6.40000,
     10,             405691.30000,             994570.45000,            1316257.15000,             830023.45000,             432430.55000,             218947.95000,             159861.60000,             113427.20000,                 45.00000,                 16.10000,                  9.25000,
     11,             409235.20000,             994807.90000,            1294211.70000,             823285.45000,             436110.20000,             223720.35000,             167848.80000,             121981.90000,                 47.65000,                 18.55000,                 12.30000,
     12,             412854.65000,             993722.25000,            1278178.50000,             818298.65000,             437618.35000,             227785.05000,             174357.50000,             128364.65000,                 62.55000,                 23.40000,                 14.45000,
     13,             416496.55000,             994359.75000,            1263678.20000,             812547.20000,             438995.35000,             231252.00000,             178840.05000,             135000.00000,                 67.65000,                 25.20000,                 18.05000,
     14,             418620.80000,             997099.80000,            1252070.85000,             806921.70000,             440138.10000,             233669.70000,             182901.40000,             139728.65000,                 71.80000,                 34.25000,                 22.95000,
     15,             420036.80000,             999386.70000,            1242226.60000,             802229.95000,             441683.30000,             235693.75000,             186243.60000,             143620.70000,                 94.70000,                 32.55000,                 31.35000,
     16,             421367.95000,            1001756.85000,            1233610.45000,             798353.35000,             441141.85000,             237776.65000,             189220.10000,             147865.65000,                 98.95000,                 48.35000,                 39.85000,
     17,             423628.55000,            1003755.15000,            1225889.25000,             793930.65000,             442195.40000,             238966.05000,             191730.20000,             150969.80000,                121.40000,                 52.70000,                 40.85000,
     18,             424663.70000,            1006210.70000,            1220139.20000,             789641.85000,             442454.85000,             240527.50000,             193936.60000,             153464.45000,                126.75000,                 63.75000,                 50.65000,
     19,             424923.10000,            1008263.05000,            1215937.75000,             786136.65000,             442541.95000,             241497.85000,             195967.60000,             155732.95000,                149.80000,                 69.05000,                 60.25000,
     20,             424902.35000,            1010362.00000,            1211367.55000,             783761.95000,             442014.75000,             241962.90000,             197732.40000,             158852.60000,                156.60000,                 94.95000,                 71.95000,
     21,             426150.90000,            1012992.95000,            1206913.80000,             780173.90000,             441182.30000,             243393.35000,             199012.70000,             161095.00000,                175.35000,                100.20000,                 89.55000,
     22,             426840.85000,            1015360.45000,            1203938.30000,             776865.55000,             440675.30000,             243575.35000,             200908.60000,             162723.75000,                174.50000,                114.45000,                102.90000,
     23,             427929.25000,            1017668.50000,            1200728.05000,             773574.45000,             440216.40000,             243760.35000,             202589.95000,             164384.00000,                188.25000,                133.20000,                107.60000,
     24,             428349.85000,            1020753.50000,            1198331.35000,             770616.30000,             439012.35000,             244169.35000,             203142.20000,             166432.40000,                198.70000,                146.45000,                127.55000,
     25,             427239.50000,            1024197.25000,            1197212.35000,             767917.70000,             436941.70000,             244576.40000,             204025.35000,             168676.50000,                202.65000,                151.05000,                139.55000,
     26,             429295.75000,            1025454.55000,            1196474.20000,             765529.65000,             435204.40000,             244456.60000,             204028.35000,             170317.95000,                207.50000,                152.60000,                158.45000,
     27,             429133.80000,            1028932.30000,            1195412.60000,             763271.55000,             433716.25000,             243735.40000,             205267.45000,             171256.80000,                208.50000,                171.55000,                173.80000,
     28,             430081.20000,            1031907.85000,            1195179.50000,             761138.25000,             431930.15000,             243652.50000,             205157.05000,             171655.65000,                223.25000,                167.05000,                187.55000,
     29,             430565.80000,            1033881.85000,            1196000.10000,             759291.85000,             430025.65000,             243262.40000,             205422.50000,             172202.30000,                236.95000,                175.75000,                214.85000,
     30,             430540.45000,            1036689.70000,            1195141.15000,             758079.70000,             429510.20000,             242031.15000,             205603.50000,             173043.25000,                230.55000,                166.00000,                244.35000,
